fips,Long,Lat
54051,-80.6634,39.8606
54049,-80.2434,39.51
54047,-81.6536,37.3785
54045,-81.9353,37.8316
54043,-82.0705,38.1753
54039,-81.5281,38.3365
54035,-81.6748,38.8344
54029,-80.5739,40.5213
54025,-80.4529,37.9469
54083,-79.8758,38.7748
54021,-80.8571,38.9241
54019,-81.0811,38.0288
54015,-81.0751,38.4626
54013,-81.1175,38.8445
54011,-82.2417,38.4203
54009,-80.5765,40.2733
54007,-80.7193,38.6998
54005,-81.7113,38.0231
54103,-80.6391,39.6053
54105,-81.3786,39.0224
54107,-81.515,39.2111
54109,-81.5491,37.6096
54001,-80.003,39.1329
54091,-80.0461,39.336
54101,-80.4219,38.4947
54099,-82.427,38.1461
54097,-80.2334,38.8978
54095,-80.8849,39.4653
54093,-79.565,39.1136
54089,-80.8586,37.6559
54087,-81.3483,38.714
54085,-81.0629,39.1783
42097,-76.7091,40.852
23001,-70.2045,44.1654
34017,-74.0825,40.7068
36085,-74.1557,40.5802
34013,-74.1293,40.69
36085,-74.1343,40.6435
34017,-74.0778,40.7409
34003,-73.9344,40.9001
36119,-73.8998,40.9601
36005,-73.8669,40.8527
36061,-73.9689,40.7786
36005,-73.8707,40.825
44001,-71.2842,41.7161
25007,-70.6561,41.3966
36063,-78.7427,43.2011
36117,-77.0292,43.1566
36075,-76.1412,43.4261
36073,-78.2312,43.2522
36055,-77.6958,43.1464
23013,-69.173,44.15
23023,-69.8613,43.9705
23015,-69.5431,44.0752
33013,-71.6802,43.2977
34039,-74.1597,40.6572
42051,-79.6474,39.9198
42129,-79.4668,40.3107
25017,-71.3918,42.4855
09009,-72.9324,41.4108
09005,-73.2453,41.7925
25027,-71.9077,42.3514
25003,-73.2064,42.3706
25011,-72.5919,42.5831
25015,-72.6638,42.3401
25021,-71.2248,42.155
23021,-69.2835,45.838
23025,-69.9582,45.5138
23003,-68.5988,46.6588
23017,-70.7555,44.499
23019,-68.6494,45.4006
33003,-71.2028,43.8739
33011,-71.716,42.9153
34031,-74.3003,41.0337
36119,-73.7553,41.1643
36115,-73.4307,43.3137
36113,-73.846,43.561
36035,-74.4222,43.1139
36031,-73.7727,44.1172
36019,-73.6781,44.7462
36033,-74.3038,44.5929
36011,-76.5543,42.9169
36065,-75.4359,43.2418
36043,-74.9626,43.4196
36093,-74.0585,42.8182
36001,-73.9735,42.6002
36039,-74.1227,42.2766
36111,-74.2585,41.8881
36027,-73.7428,41.7652
36021,-73.6318,42.2501
36083,-73.5097,42.7111
36091,-73.8639,43.1074
36089,-75.0625,44.4921
42027,-77.8196,40.919
42081,-77.0645,41.3433
42127,-75.3033,41.6487
42049,-80.0322,41.9917
42035,-77.6385,41.2341
44007,-71.5811,41.8724
44009,-71.6234,41.4687
50007,-73.0809,44.4609
50001,-73.1407,44.0306
50021,-73.0366,43.5801
50025,-72.7138,42.9906
50011,-72.912,44.8574
25009,-70.9581,42.6729
25023,-70.8129,41.9547
25013,-72.6316,42.1351
44003,-71.5943,41.6719
33015,-71.1251,42.9877
34039,-74.3104,40.66
23031,-70.7156,43.4796
23005,-70.4096,43.8487
23007,-70.444,44.974
34003,-74.0781,40.9615
09011,-72.1004,41.4893
25025,-71.0818,42.3308
23027,-69.1478,44.5037
23009,-68.3531,44.6749
36059,-73.5885,40.7411
34013,-74.2481,40.7881
25001,-70.2982,41.7257
23011,-69.7672,44.4093
09007,-72.534,41.4624
09001,-73.3887,41.2731
33007,-71.3057,44.6893
50005,-72.1022,44.4647
21151,-84.278,37.7202
21153,-83.0648,37.7066
21155,-85.2696,37.5525
21157,-88.3293,36.8834
21159,-82.5132,37.8016
21161,-83.824,38.5952
21163,-86.2169,37.9695
21165,-83.5989,37.9414
21167,-84.8744,37.8111
21169,-85.6291,36.9905
21171,-85.7164,36.7122
21173,-83.9132,38.0336
21175,-83.2589,37.9223
21177,-87.1421,37.2157
21179,-85.4662,37.8051
21181,-84.0153,38.3356
21183,-86.849,37.4783
21185,-85.4485,38.3995
21187,-84.828,38.5197
21189,-83.6832,37.4192
21191,-84.3602,38.6957
21193,-83.2215,37.2443
21195,-82.3958,37.469
21197,-83.8238,37.8312
21199,-84.5771,37.1039
21201,-84.0521,38.5188
21203,-84.316,37.3652
21205,-83.4211,38.1963
21207,-85.0586,36.9911
21209,-84.5839,38.2915
21211,-85.1948,38.2155
21213,-86.5823,36.7419
21215,-85.3279,38.0325
21217,-85.3279,37.3664
21219,-87.1791,36.8356
21221,-87.8734,36.8064
21223,-85.3374,38.613
21225,-87.9453,37.6584
21227,-86.4239,36.9936
21229,-85.1747,37.7534
21231,-84.8285,36.8013
21233,-87.6832,37.5183
21235,-84.1452,36.7582
21237,-83.4931,37.7393
21239,-84.7435,38.0423
21129,-83.7163,37.5947
21075,-89.1873,36.5541
21001,-85.2805,37.1041
21003,-86.1904,36.7513
21005,-84.9909,38.004
21007,-88.9992,37.0584
21009,-85.9336,36.9656
21011,-83.7428,38.1449
21013,-83.674,36.7307
21015,-84.7279,38.97
21017,-84.2171,38.2068
21019,-82.6877,38.3596
21021,-84.8667,37.6244
21023,-84.0901,38.6888
21025,-83.3241,37.5216
21027,-86.4293,37.7732
21029,-85.6959,37.97
21031,-86.6816,37.2074
21033,-87.8679,37.1453
21035,-88.2723,36.6211
21037,-84.3793,38.9465
21039,-88.9709,36.8532
21041,-85.1235,38.6679
21043,-83.0495,38.3181
21045,-84.9283,37.3223
21047,-87.4904,36.8941
21049,-84.1475,37.9709
21051,-83.7146,37.1598
21107,-87.541,37.3088
21055,-88.0972,37.3527
21057,-85.3884,36.7866
21059,-87.0873,37.7318
21061,-86.2385,37.2087
21063,-83.0976,38.1179
21065,-83.9643,37.6924
21067,-84.4588,38.0423
21069,-83.6967,38.3701
21071,-82.7457,37.5572
21073,-84.877,38.2391
21077,-84.8592,38.7569
21079,-84.5376,37.6396
21081,-84.6245,38.6488
21083,-88.6512,36.723
21085,-86.3439,37.4608
21087,-85.5531,37.2639
21089,-82.9223,38.5456
21091,-86.778,37.8415
21093,-85.9635,37.6979
21095,-83.2179,36.857
21097,-84.3315,38.4418
21105,-88.9761,36.6781
21103,-85.1189,38.4484
21101,-87.5729,37.7961
21099,-85.8847,37.2999
21125,-84.1178,37.1107
21053,-85.1361,36.7275
26143,-84.6116,44.3356
26145,-84.0532,43.335
26149,-85.5278,41.9145
26155,-84.1467,42.9537
26161,-83.8384,42.2534
28005,-90.8045,31.1744
28007,-89.5817,33.0863
28009,-89.1885,34.8173
28001,-91.3531,31.4832
28161,-89.7076,34.0282
28159,-89.0344,33.0885
28157,-91.3109,31.161
28155,-89.2848,33.6131
28153,-88.6958,31.6408
28151,-90.9474,33.2836
28149,-90.8521,32.3573
28147,-90.1061,31.1485
28145,-89.0038,34.4905
28143,-90.3755,34.652
28141,-88.2393,34.7404
28139,-88.9089,34.7684
28137,-89.9448,34.6503
28135,-90.1732,33.9505
28133,-90.5886,33.6023
28131,-89.1177,30.79
28129,-89.5067,32.0177
28127,-89.9195,31.9132
28125,-90.8132,32.8797
28123,-89.5376,32.4064
28121,-89.9457,32.2641
28119,-90.2891,34.2514
28117,-88.5201,34.6183
28115,-89.0374,34.2254
28111,-88.9923,31.172
28107,-89.9505,34.3639
28105,-88.8793,33.425
28103,-88.5698,33.1101
28101,-89.1188,32.4002
28099,-89.1176,32.7535
28097,-89.6164,33.4941
28095,-88.4804,33.8923
28093,-89.5031,34.7623
28091,-89.8224,31.2308
19045,-90.532,41.898
19047,-95.3821,42.0372
19049,-94.0398,41.6849
19051,-92.4097,40.7477
19053,-93.7863,40.7377
19197,-93.7352,42.7331
19191,-91.8436,43.2906
19193,-96.0449,42.3897
19195,-93.2609,43.3774
19105,-91.1314,42.1212
19187,-94.1818,42.4278
19189,-93.7342,43.3775
17077,-89.3821,37.7852
17081,-88.924,38.3005
17083,-90.3566,39.0856
17085,-90.2123,42.3657
17087,-88.8809,37.4596
17089,-88.4287,41.939
17091,-87.8618,41.1377
17093,-88.4289,41.5906
17075,-87.8243,40.7474
17099,-88.8859,41.3439
17101,-87.7266,38.72
17073,-90.1314,41.3531
17105,-88.5578,40.8914
17107,-89.3676,40.1245
17109,-90.678,40.4562
17111,-88.4524,42.3244
17113,-88.8473,40.4908
17115,-88.9617,39.8599
17117,-89.9244,39.261
17119,-89.9051,38.8299
17121,-88.919,38.6496
17123,-89.3448,41.0332
17125,-89.9168,40.2397
17127,-88.7078,37.219
46069,-99.4871,44.5474
46067,-97.7546,43.3348
46065,-99.9961,44.389
46063,-103.4959,45.5804
46061,-97.7874,43.6748
46059,-99.005,44.5478
46057,-97.1883,44.6737
46055,-101.54,44.2944
46053,-99.1856,43.1924
46051,-96.7677,45.172
46049,-99.1453,45.0711
46045,-99.2155,45.4188
46043,-98.3662,43.3871
46041,-100.8719,45.1566
46039,-96.668,44.76
46037,-97.6075,45.3672
46035,-98.1461,43.675
46031,-101.1969,45.7087
46029,-97.1887,44.9778
46027,-96.9757,42.9146
46025,-97.7295,44.8582
46023,-98.5879,43.2079
46021,-100.0517,45.7711
46017,-99.205,44.0763
46015,-99.081,43.7181
46013,-98.3516,45.5898
46011,-96.7905,44.3697
46009,-97.8847,42.9884
46007,-101.6639,43.1949
46005,-98.2782,44.4145
46003,-98.5616,43.7182
46095,-100.76,43.5811
46019,-103.5081,44.9058
46075,-100.6896,43.9604
46125,-97.1488,43.3108
46127,-96.6561,42.8324
08009,-102.5605,37.3192
08011,-103.0717,37.9551
08017,-102.6034,38.8279
08025,-103.7849,38.3266
08063,-102.6029,39.3054
08075,-103.1101,40.7247
08087,-103.8098,40.2627
08089,-103.7164,37.9027
08095,-102.3575,40.5939
08099,-102.3933,37.9552
08111,-107.6761,37.764
08115,-102.3518,40.8758
08121,-103.2013,39.971
08125,-102.4243,40.0029
20067,-101.308,37.5622
20201,-97.0874,39.7842
20203,-101.3474,38.4821
20205,-95.7434,37.5593
20207,-95.7402,37.8867
20197,-96.2049,38.9533
20199,-101.7636,38.9166
30001,-112.8988,45.1328
30005,-108.9586,48.4327
30007,-111.4955,46.3319
30011,-104.5362,45.5168
30013,-111.3472,47.308
30015,-110.4352,47.8806
30017,-105.5718,46.2527
30019,-105.5485,48.7838
30021,-104.8994,47.2664
30023,-113.0677,46.0608
30025,-104.4174,46.334
30027,-109.2243,47.2636
30033,-106.9928,47.2777
30041,-110.1113,48.6282
50009,-71.7364,44.7281
36013,-79.3664,42.2282
72137,-66.2144,18.4312
72145,-66.398,18.4284
36103,-72.8573,40.878
25005,-71.1153,41.802
36081,-73.8177,40.7067
36081,-73.8481,40.7884
36047,-73.9472,40.6447
36045,-75.9102,44.0409
33009,-71.8205,43.9409
54041,-80.5022,38.9958
54033,-80.3798,39.2835
54017,-80.7069,39.2692
13317,-82.7432,33.782
13315,-83.4322,31.9734
13313,-84.9673,34.8056
13311,-83.7472,34.6464
13309,-82.7246,32.1171
13307,-84.551,32.0466
13305,-81.9168,31.5515
13303,-82.7959,32.9695
13301,-82.6767,33.409
13299,-82.4238,31.0534
13295,-85.3009,34.7356
13291,-83.9907,34.8342
13289,-83.4272,32.6672
13287,-83.6242,31.7164
13285,-85.0283,33.0335
13283,-82.5673,32.4039
13281,-83.7373,34.9166
13279,-82.3306,32.1206
13277,-83.5266,31.4575
13275,-83.9194,30.8637
13273,-84.4368,31.7768
13271,-82.9389,31.9298
13267,-82.0582,32.0458
13265,-82.8787,33.5662
13263,-84.533,32.6995
13261,-84.1971,32.04
13259,-84.8351,32.0785
13257,-83.2935,34.554
13255,-84.2841,33.2609
13251,-81.6119,32.7507
13249,-84.3149,32.262
13247,-84.0267,33.6545
13245,-82.0735,33.3596
13243,-84.7542,31.7626
13241,-83.4021,34.8818
13237,-83.3728,33.3218
13235,-83.4764,32.2328
13233,-85.1881,34.0018
13231,-84.3892,33.0922
13229,-82.2134,31.3589
13227,-84.4656,34.4643
13225,-83.8268,32.5688
13223,-84.8672,33.9202
13221,-83.0806,33.8807
13219,-83.437,33.8349
13217,-83.8503,33.5551
13215,-84.877,32.51
13091,-83.1684,32.1722
13093,-83.7987,32.1572
13095,-84.2164,31.5333
13097,-84.7677,33.7015
13099,-84.9037,31.3228
13101,-82.8939,30.7101
13105,-82.8403,34.117
13107,-82.3018,32.5898
13111,-84.3197,34.8641
13113,-84.4941,33.414
13115,-85.2143,34.2632
13117,-84.1253,34.2255
13119,-83.2292,34.3755
13123,-84.4554,34.6915
13125,-82.6107,33.2293
13129,-84.8757,34.5034
13131,-84.2344,30.8747
13133,-83.1667,33.5788
13135,-84.0235,33.9617
13137,-83.5312,34.631
13139,-83.8197,34.3168
13141,-83.001,33.2703
13143,-85.211,33.7943
13145,-84.909,32.736
13147,-82.964,34.3511
13149,-85.1283,33.297
13151,-84.1554,33.4534
13153,-83.6662,32.459
13155,-83.2764,31.6023
13157,-83.5663,34.1339
13063,-84.3577,33.5419
13163,-82.4181,33.0549
18163,-87.5857,38.0254
18161,-84.9251,39.6255
18159,-86.0519,40.3114
18157,-86.8941,40.3886
18155,-85.037,38.8262
18153,-87.4146,39.0888
18151,-85.0008,41.6439
18149,-86.6478,41.281
18147,-87.0077,38.0142
18145,-85.7918,39.5236
18143,-85.7474,38.6851
18141,-86.2898,41.6167
18139,-85.4658,39.6199
18175,-86.1053,38.6
18135,-85.0114,40.1576
18133,-86.845,39.6663
18131,-86.6989,41.0419
18129,-87.8684,38.0218
18127,-87.0672,41.4605
18125,-87.2322,38.3988
18123,-86.638,38.0797
18121,-87.2063,39.7736
18119,-86.8376,39.3129
18117,-86.4951,38.5418
18115,-84.965,38.9501
18113,-85.4174,41.3986
18111,-87.3975,40.9559
18109,-86.4462,39.4815
18107,-86.8933,40.0404
18105,-86.5231,39.1609
18103,-86.0451,40.7695
18101,-86.8031,38.708
19163,-90.6232,41.6371
19161,-95.1055,42.3862
19159,-94.244,40.7352
19157,-92.5315,41.6864
19155,-95.5423,41.3364
19153,-93.5734,41.6855
19151,-94.6788,42.7341
19149,-96.2142,42.7378
19147,-94.6782,43.082
19145,-95.1502,40.7391
19143,-95.6237,43.3785
19141,-95.625,43.0838
19139,-91.1127,41.4839
19137,-95.1563,41.0301
19135,-92.869,41.0297
19133,-95.96,42.0516
19131,-92.7891,43.3564
19129,-95.6214,41.0332
19127,-92.9988,42.0358
19125,-93.0995,41.3344
19123,-92.6409,41.3351
19121,-94.0155,41.3307
19119,-96.2103,43.3805
19117,-93.3277,41.0293
19115,-91.2597,41.2185
19113,-91.5989,42.0789
19111,-91.4792,40.642
19109,-94.2067,43.2042
19107,-92.1787,41.3364
19103,-91.5881,41.6715
19101,-91.9489,41.0318
19097,-90.5742,42.1717
51137,-78.0134,38.2463
51157,-78.1593,38.6845
51165,-78.8758,38.5122
51171,-78.5704,38.8585
51187,-78.2072,38.9087
51003,-78.5565,38.0229
51177,-77.6567,38.1854
51015,-79.1338,38.1646
51069,-78.2626,39.2046
51079,-78.4669,38.2977
51047,-77.9559,38.4861
51043,-77.9966,39.1122
51113,-78.2792,38.4137
51139,-78.4841,38.62
54065,-78.2578,39.5604
54037,-77.8628,39.3076
54031,-78.8579,39.0075
54003,-78.0275,39.4641
24013,-77.0228,39.5631
24027,-76.9315,39.251
51107,-77.6357,39.0907
51091,-79.5685,38.3623
54071,-79.3509,38.6808
51061,-77.8094,38.7386
24001,-78.6989,39.6215
54057,-78.9438,39.4147
54023,-79.1955,39.1051
51660,-78.8735,38.4362
51820,-78.9013,38.0673
51840,-78.1744,39.1733
51790,-79.0616,38.1587
13213,-84.7481,34.7885
13211,-83.4924,33.5908
13209,-82.5338,32.1746
13207,-83.9187,33.0141
13205,-84.1942,31.2254
13201,-84.7307,31.164
13199,-84.6883,33.0407
13197,-84.5246,32.3534
13195,-83.209,34.1279
13189,-82.4814,33.4829
13187,-84.0031,34.5722
13185,-83.2677,30.8339
13181,-82.4512,33.7936
13175,-82.9222,32.4637
13173,-83.0626,31.038
13171,-84.1394,33.0765
13169,-83.5605,33.0251
13167,-82.6601,32.7015
13165,-81.9636,32.7925
13319,-83.1713,32.8024
13161,-82.637,31.8056
13293,-84.2993,32.8812
13193,-84.0425,32.3584
13109,-81.8868,32.1568
13177,-84.141,31.7796
13269,-84.2504,32.5556
13027,-83.5803,30.842
13001,-82.289,31.7493
13003,-82.88,31.2971
13005,-82.4527,31.5537
13007,-84.4447,31.3262
13009,-83.2498,33.069
13011,-83.4974,34.3541
13013,-83.7126,33.9932
13015,-84.8405,34.2379
13017,-83.2206,31.7598
13019,-83.2297,31.2761
13021,-83.6979,32.8067
13023,-83.3279,32.4344
13025,-81.9819,31.197
13031,-81.7432,32.3969
13033,-82.0008,33.0612
13035,-83.9572,33.2891
13037,-84.6249,31.5292
13043,-82.0737,32.4035
13045,-85.0797,33.5828
13047,-85.1381,34.9036
13053,-84.787,32.347
