fips,Long,Lat
2,-154.493062,63.588753
1,-86.902298,32.318231
5,-91.831833,35.20105
4,-111.093731,34.048928000000004
6,-119.417932,36.778261
8,-105.782067,39.550051
9,-73.087749,41.60322100000001
11,-77.03341800000003,38.905985
10,-75.52767,38.910832
12,-81.515754,27.664827
13,-82.907123,32.157435
15,-155.66585700000005,19.898682
19,-93.097702,41.878003
16,-114.742041,44.068202
17,-89.398528,40.633125
18,-85.602364,40.551217
20,-98.484246,39.011902
21,-84.27001800000002,37.839333
22,-92.145024,31.244823
25,-71.382437,42.407211
24,-76.641271,39.045755
23,-69.44546899999999,45.253783
26,-85.602364,44.314844
27,-94.6859,46.729553
29,-91.831833,37.964253
28,-89.398528,32.354668
30,-110.362566,46.879682
37,-79.0193,35.759573
38,-101.002012,47.551493
31,-99.901813,41.492537
33,-71.572395,43.193852
34,-74.405661,40.058324
35,-105.032363,34.97273
32,-116.419389,38.80261
36,-74.217933,43.299428000000006
39,-82.907123,40.417287
40,-97.092877,35.007752
41,-120.554201,43.804133
42,-77.194525,41.203322
72,-66.590149,18.220833
44,-71.477429,41.580095
45,-81.163725,33.836081
46,-99.901813,43.969515
47,-86.58044699999998,35.517491
48,-99.901813,31.968599
49,-111.093731,39.32098
51,-78.656894,37.431573
50,-72.577841,44.55880300000001
53,-120.740139,47.751074
55,-88.787868,43.78444
54,-80.454903,38.597626
56,-107.290284,43.075968
78,-64.8671634,18.3434415
66,144.7874584,13.4502076
